"left","right"
"MUNDUNGUS [IN NORMAL VOICE]","[NEWSPAPERS THUD]"
"MUNDUNGUS [IN NORMAL VOICE]","Listen, I panicked that night, all right?"
"MUNDUNGUS [IN NORMAL VOICE]","Could I help it"
"MUNDUNGUS [IN NORMAL VOICE]","if Mad-Eye fell off his broom?"
"MUNDUNGUS [IN NORMAL VOICE]","When you turned this place over--"
"MUNDUNGUS [IN NORMAL VOICE]","Don't deny it."
"MUNDUNGUS [IN NORMAL VOICE]","--you found a locket, am I right?"
"MUNDUNGUS [IN NORMAL VOICE]","Why? Was it valuable?"
"HERMIONE","You still got it?"
"HERMIONE","No, he's worried"
"HERMIONE","he didn't get enough money for it."
"HERMIONE","Bleeding give it away, didn't I?"
"HERMIONE","[SIGHS]"
"HERMIONE","There I was,"
"HERMIONE","flogging me wares in Diagon Alley..."
"HERMIONE","...when some Ministry hag comes up"
"HERMIONE","and asks to see me license."
