"left","right"
"HARRY","You're more like them"
"HARRY","than you know, Harry."
"HARRY","In time, you'll come to see"
"HARRY","just how much."
"HARRY","but nothing beats Zonko's Joke Shop."
"HARRY","We never got to go"
"HARRY","to the Shrieking Shack."
"HARRY","-You heard it's the most--"
"HARRY","What's going on?"
"HARRY","the password again."
"HARRY","-Hey."
"HARRY","Excuse me! I'm Head Boy!"
"HARRY","Get back, all of you."
"HARRY","No one is to enter this dormitory"
"HARRY","until it's been searched."
"HARRY","The Fat Lady! She's gone!"
"HARRY","She was a terrible singer."
"HERMlONE","It's not funny, Ron."
"PERCY","Keep calm, everyone. Break into fours."
"PERCY","Back to your common room."
"PERCY","You heard. Move!"
"DUMBLEDORE","Mr. Filch? Round up the ghosts."
"DUMBLEDORE","Tell them to search every painting"
"DUMBLEDORE","in the castle to find the Fat Lady."
"DUMBLEDORE","There's no need for ghosts, professor."
"DUMBLEDORE","The Fat Lady's there."
"PERCY","Mind where you're going! Slow down!"
"PERCY","You listen! l'm Head Boy!"
"PERCY","-Come back here!"
"PERCY","Dear lady, who did this to you?"
"PERCY","Eyes like the devil, he's got,"
"PERCY","and a soul as dark as his name."
"PERCY","It's him, headmaster."
"PERCY","The one they all talk about."
"PERCY","He's here, somewhere in the castle!"
"PERCY","Sirius Black!"
